Temperature,Pressure
250,100000
250,125000
250,150000
250,175000
250,200000
250,225000
250,250000
250,275000
250,300000
250,325000
250,350000
250,375000
250,400000
250,425000
250,450000
250,475000
250,500000
250,525000
250,550000
250,575000
250,600000
250,625000
250,650000
250,675000
250,700000
250,725000
250,750000
250,775000
250,800000
250,825000
250,850000
250,875000
250,900000
250,925000
250,950000
250,975000
250,1000000
250,1025000
250,1050000
250,1075000
250,1100000
250,1125000
250,1150000
250,1175000
250,1200000
250,1225000
250,1250000
250,1275000
250,1300000
250,1325000
250,1350000
250,1375000
250,1400000
250,1425000
250,1450000
250,1475000
250,1500000
250,1525000
250,1550000
250,1575000
250,1600000
250,1625000
250,1650000
250,1675000
250,1700000
250,1725000
250,1750000
250,1775000
250,1800000
250,1825000
250,1850000
250,1875000
250,1900000
250,1925000
250,1950000
250,1975000
250,2000000
250,2025000
250,2050000
250,2075000
250,2100000
250,2125000
250,2150000
250,2175000
250,2200000
250,2225000
250,2250000
250,2275000
250,2300000
250,2325000
250,2350000
250,2375000
250,2400000
250,2425000
250,2450000
250,2475000
250,2500000
250,2525000
250,2550000
250,2575000
250,2600000
250,2625000
250,2650000
250,2675000
250,2700000
250,2725000
250,2750000
250,2775000
250,2800000
250,2825000
250,2850000
250,2875000
250,2900000
250,2925000
250,2950000
250,2975000
250,3000000
250,3025000
250,3050000
250,3075000
250,3100000
250,3125000
250,3150000
250,3175000
250,3200000
250,3225000
250,3250000
250,3275000
250,3300000
250,3325000
250,3350000
250,3375000
250,3400000
250,3425000
250,3450000
250,3475000
250,3500000
250,3525000
250,3550000
250,3575000
250,3600000
250,3625000
250,3650000
250,3675000
250,3700000
250,3725000
250,3750000
250,3775000
250,3800000
250,3825000
250,3850000
250,3875000
250,3900000
250,3925000
250,3950000
250,3975000
250,4000000
250,4025000
250,4050000
250,4075000
250,4100000
250,4125000
250,4150000
250,4175000
250,4200000
250,4225000
250,4250000
250,4275000
250,4300000
250,4325000
250,4350000
250,4375000
250,4400000
