1: nitrous oxide: Specified state points

Temperature, Pressure, Density, Int. Energy, Enthalpy, Entropy, Cv, Cp, Cp/Cv, Sound Speed, Comp. Factor, Heat of Vapor., Molar Mass, Therm. Cond., Viscosity, Vol. Expansivity
(K), (Pa), (kg/m^3), (J/kg), (J/kg), (J/kg-K), (J/kg-K), (J/kg-K), , (m/s), , (J/kg), , (W/m-K), (Pa-s), (1/K)
, , , , , , , , , , , , , , , 
230.0000000, 100000.0000, 2.330560316, 368572.1433, 411480.2797, 2209.052762, 621.8307643, 821.8335601, 1.321635415, 236.6275826, 0.9875450793, Undefined, 44.01288000, 0.009992246616, 0.000008868556879, 0.004530483804
230.0000000, 125000.0000, 2.922581500, 368256.9136, 411027.3205, 2165.518605, 624.4329160, 827.4321846, 1.325093799, 236.1641382, 0.9843751887, Undefined, 44.01288000, 0.009971368014, 0.000008879109294, 0.004579232339
230.0000000, 150000.0000, 3.518511728, 367938.0318, 410569.6930, 2129.677969, 627.1380641, 833.2303016, 1.328623391, 235.6960151, 0.9811819104, Undefined, 44.01288000, 0.009951701704, 0.000008889751835, 0.004629302987
230.0000000, 175000.0000, 4.118434110, 367615.4230, 410107.3011, 2099.140544, 629.9482776, 839.2339123, 1.332226696, 235.2231061, 0.9779647543, Undefined, 44.01288000, 0.009933275975, 0.000008900486469, 0.004680743869
230.0000000, 200000.0000, 4.722434722, 367289.0097, 409640.0451, 2072.479355, 632.8656990, 845.4493049, 1.335906348, 234.7453009, 0.9747232130, Undefined, 44.01288000, 0.009916120244, 0.000008911315231, 0.004733605556
230.0000000, 225000.0000, 5.330602757, 366958.7115, 409167.8218, 2048.773819, 635.8925480, 851.8830733, 1.339665131, 234.2624860, 0.9714567609, Undefined, 44.01288000, 0.009900265164, 0.000008922240232, 0.004787941234
230.0000000, 250000.0000, 5.943030686, 366624.4451, 408690.5244, 2027.395218, 639.0311252, 858.5421360, 1.343505977, 233.7745444, 0.9681648531, Undefined, 44.01288000, 0.009885742718, 0.000008933263660, 0.004843806872
230.0000000, 275000.0000, 6.559814426, 366286.1241, 408208.0417, 2007.894973, 642.2838167, 865.4337583, 1.347431985, 233.2813553, 0.9648469245, Undefined, 44.01288000, 0.009872586319, 0.000008944387784, 0.004901261418
230.0000000, 300000.0000, 7.181053524, 365943.6588, 407720.2587, 1989.941734, 645.6530984, 872.5655747, 1.351446430, 232.7827945, 0.9615023887, Undefined, 44.01288000, 0.009860830906, 0.000008955614961, 0.004960367002
230.0000000, 325000.0000, 7.806851353, 365596.9561, 407227.0558, 1973.283743, 649.1415406, 879.9456144, 1.355552771, 232.2787335, 0.9581306371, Undefined, 44.01288000, 0.009850513053, 0.000008966947638, 0.005021189157
230.0000000, 350000.0000, 8.437315318, 365245.9194, 406728.3089, 1957.725173, 652.7518135, 887.5823280, 1.359754672, 231.7690394, 0.9547310371, Undefined, 44.01288000, 0.009841671077, 0.000008978388359, 0.005083797063
230.0000000, 375000.0000, 9.072557081, 364890.4481, 406223.8888, 1943.110663, 656.4866924, 895.4846174, 1.364056009, 231.2535751, 0.9513029314, Undefined, 44.01288000, 0.009834345152, 0.000008989939766, 0.005148263811
230.0000000, 400000.0000, 9.712692801, 364530.4377, 405713.6613, 1929.314844, 660.3490638, 903.6618675, 1.368460890, 230.7321985, 0.9478456365, Undefined, 44.01288000, 0.009828577443, 0.000009001604613, 0.005214666687
230.0000000, 425000.0000, 10.35784339, 364165.7792, 405197.4867, 1916.235052, 664.3419316, 912.1239810, 1.372973671, 230.2047626, 0.9443584407, Undefined, 44.01288000, 0.009824412230, 0.000009013385761, 0.005283087486
230.0000000, 450000.0000, 11.00813479, 363796.3595, 404675.2194, 1903.786120, 668.4684240, 920.8814168, 1.377598977, 229.6711150, 0.9408406032, Undefined, 44.01288000, 0.009821896064, 0.000009025286197, 0.005353612855
230.0000000, 475000.0000, 11.66369827, 363422.0603, 404146.7078, 1891.896585, 672.7318006, 929.9452315, 1.382341716, 229.1310975, 0.9372913518, Undefined, 44.01288000, 0.009821077917, 0.000009037309029, 0.005426334665
230.0000000, 500000.0000, 12.32467075, 363042.7586, 403611.7937, 1880.505870, 677.1354606, 939.3271245, 1.387207109, 228.5845458, 0.9337098814, Undefined, 44.01288000, 0.009822009354, 0.000009049457503, 0.005501350424
230.0000000, 525000.0000, 12.99119513, 362658.3257, 403070.3121, 1869.562142, 681.6829509, 949.0394881, 1.392200710, 228.0312895, 0.9300953517, Undefined, 44.01288000, 0.009824744719, 0.000009061735006, 0.005578763722
230.0000000, 550000.0000, 13.66342070, 362268.6275, 402522.0906, 1859.020686, 686.3779759, 959.0954622, 1.397328434, 227.4711509, 0.9264468852, Undefined, 44.01288000, 0.009829341333, 0.000009074145078, 0.005658684728
230.0000000, 575000.0000, 14.34150350, 361873.5237, 401966.9490, 1848.842625, 691.2244066, 969.5089938, 1.402596587, 226.9039451, 0.9227635649, Undefined, 44.01288000, 0.009835859714, 0.000009086691418, 0.005741230732
230.0000000, 600000.0000, 15.02560677, 361472.8674, 401404.6990, 1838.993921, 696.2262919, 980.2949038, 1.408011900, 226.3294795, 0.9190444315, Undefined, 44.01288000, 0.009844363814, 0.000009099377898, 0.005826526748
230.0000000, 625000.0000, 15.71590147, 361066.5050, 400835.1433, 1829.444573, 701.3878702, 991.4689594, 1.413581560, 225.7475530, 0.9152884808, Undefined, 44.01288000, 0.009854921281, 0.000009112208572, 0.005914706171
230.0000000, 650000.0000, 16.41256670, 360654.2756, 400258.0750, 1820.167979, 706.7135818, 1003.047954, 1.419313255, 225.1579556, 0.9114946609, Undefined, 44.01288000, 0.009867603740, 0.000009125187690, 0.006005911513
230.0000000, 675000.0000, 17.11579037, 360236.0103, 399673.2776, 1811.140412, 712.2080829, 1015.049799, 1.425215219, 224.5604676, 0.9076618684, Undefined, 44.01288000, 0.009882487108, 0.000009138319710, 0.006100295218
230.0000000, 700000.0000, 17.82576971, 359811.5320, 399080.5235, 1802.340592, 717.8762604, 1027.493617, 1.431296275, 223.9548590, 0.9037889453, Undefined, 44.01288000, 0.009899651933, 0.000009151609312, 0.006198020558
230.0000000, 725000.0000, 18.54271201, 359380.6544, 398479.5737, 1793.749333, 723.7232484, 1040.399859, 1.437565895, 223.3408888, 0.8998746751, Undefined, 44.01288000, 0.009919183776, 0.000009165061417, 0.006299262644
230.0000000, 750000.0000, 19.26683532, 358943.1817, 397870.1766, 1785.349253, 729.7544461, 1053.790420, 1.444034258, 222.7183040, 0.8959177784, Undefined, 44.01288000, 0.009941173622, 0.000009178681201, 0.006404209544
230.0000000, 775000.0000, 19.99836922, 358498.9078, 397252.0677, 1777.124518, 735.9755369, 1067.688780, 1.450712322, 222.0868388, 0.8919169080, Undefined, 44.01288000, 0.009965718340, 0.000009192474115, 0.006513063534
230.0000000, 800000.0000, 20.73755574, 358047.6155, 396624.9681, 1769.060643, 742.3925106, 1082.120153, 1.457611893, 221.4462135, 0.8878706446, Undefined, 44.01288000, 0.009992921192, 0.000009206445907, 0.006626042507
230.0000000, 825000.0000, 21.48465030, 357589.0754, 395988.5833, 1761.144308, 749.0116864, 1097.111661, 1.464745719, 220.7961333, 0.8837774902, Undefined, 44.01288000, 0.01002289239, 0.000009220602643, 0.006743381544
230.0000000, 850000.0000, 1087.699840, 79671.60204, 80453.06763, 386.0220823, 908.9436186, 1841.389484, 2.025856661, 853.4154620, 0.01798569141, Undefined, 44.01288000, 0.1458439778, 0.0001951167649, 0.003358085470
230.0000000, 875000.0000, 1087.769359, 79653.90495, 80458.30341, 385.9449180, 908.9491981, 1841.147343, 2.025577828, 853.6080200, 0.01851349907, Undefined, 44.01288000, 0.1458631871, 0.0001951635374, 0.003356650929
230.0000000, 900000.0000, 1087.838836, 79636.21799, 80463.54643, 385.8677917, 908.9547935, 1840.905527, 2.025299322, 853.8004699, 0.01904123999, Undefined, 44.01288000, 0.1458823898, 0.0001952102981, 0.003355218273
230.0000000, 925000.0000, 1087.908273, 79618.54117, 80468.79668, 385.7907032, 908.9604046, 1840.664036, 2.025021141, 853.9928118, 0.01956891425, Undefined, 44.01288000, 0.1459015859, 0.0001952570468, 0.003353787499
230.0000000, 950000.0000, 1087.977669, 79600.87446, 80474.05415, 385.7136524, 908.9660314, 1840.422869, 2.024743285, 854.1850460, 0.02009652190, Undefined, 44.01288000, 0.1459207754, 0.0001953037838, 0.003352358603
230.0000000, 975000.0000, 1088.047024, 79583.21786, 80479.31884, 385.6366394, 908.9716740, 1840.182025, 2.024465754, 854.3771725, 0.02062406302, Undefined, 44.01288000, 0.1459399583, 0.0001953505089, 0.003350931580
230.0000000, 1000000.000, 1088.116338, 79565.57134, 80484.59072, 385.5596640, 908.9773322, 1839.941504, 2.024188546, 854.5691915, 0.02115153768, Undefined, 44.01288000, 0.1459591346, 0.0001953972222, 0.003349506427
